,connector,relation,is_pair,counterpart
0,m.a.w.,['expansion'],False,
0,mithin,"['contingency', 'comparison']",False,
0,nachdem,['temporal'],False,
0,nachher,['temporal'],False,
0,nebenbei,"['expansion', 'temporal']",False,
0,nebenbei gesagt,['expansion'],False,
0,nebenher,"['temporal', 'expansion']",False,
0,nicht umsonst,['contingency'],False,
0,nichtsdestominder,['comparison'],False,
0,nichtsdestotrotz,['comparison'],False,
0,noch,"['temporal', 'contingency', 'expansion']",False,
0,nun einmal,[],False,
0,nur,"['comparison', 'comparison']",False,
0,nur daß,['comparison'],False,
0,naemlich,"['contingency', 'expansion']",False,
0,ob,[],False,
0,obendrein,['expansion'],False,
0,obgleich,"['comparison', 'comparison']",False,
0,obschon,['comparison'],False,
0,obwohl,['comparison'],False,
0,obzwar,"['comparison', 'expansion']",False,
0,oder,['expansion'],False,
0,ohne daß,['expansion'],False,
0,ohnedies,['contingency'],False,
0,ohnehin,['contingency'],False,
0,qua,['expansion'],False,
0,schließlich,"['temporal', 'contingency']",False,
0,schlussendlich,"['temporal', 'temporal']",False,
0,sei es,['expansion'],False,
0,seit,"['temporal', 'temporal']",False,
0,seitdem,"['temporal', 'temporal']",False,
0,seither,"['temporal', 'temporal']",False,
0,sintemalen,['contingency'],False,
0,daß,['contingency'],True,so
0,so,['contingency'],True,daß
0,so oder so,[],False,
0,sobald,['temporal'],False,
0,sodann,"['temporal', 'contingency', 'expansion']",False,
0,so daß,"['contingency', 'contingency']",False,
0,sofern,['contingency'],False,
0,sogleich,"['temporal', 'temporal']",False,
0,solang,"['temporal', 'contingency', 'temporal']",False,
0,daß,['contingency'],True,solcherart
0,solcherart,['contingency'],True,daß
0,somit,"['contingency', 'expansion', 'expansion', 'expansion']",False,
0,sonach,['contingency'],False,
0,sondern,"['expansion', 'expansion']",False,
0,sonst,['contingency'],False,
0,sooft,"['temporal', 'contingency']",False,
0,sosehr,"['comparison', 'comparison']",False,
0,soweit,['contingency'],False,
