,connector,relation,is_pair,counterpart
0,derweil,"['expansion.conjunction', 'temporal.synchronous', 'expansion.conjunction', 'temporal.synchronous']",True,derweilen
0,derweilen,"['expansion.conjunction', 'temporal.synchronous', 'expansion.conjunction', 'temporal.synchronous']",True,derweil
0,desweiteren,['expansion.conjunction'],True,des weiteren
0,des weiteren,['expansion.conjunction'],True,desweiteren
0,desgleichen,['expansion.conjunction'],False,
0,deshalb,['contingency.cause'],False,
0,deswegen,['contingency.cause'],False,
0,doch,"['comparison.concession', 'comparison.contrast']",False,
0,drum,['contingency.cause'],False,
0,durch,['contingency.cause'],False,
0,eben,"['contingency.cause', 'temporal.asynchronous']",False,
0,ebenfalls,"['expansion.conjunction', 'expansion.equivalence']",False,
0,ebenso wenig,['expansion.equivalence'],True,ebensowenig
0,ebensowenig,['expansion.equivalence'],True,ebenso wenig
0,eh,['contingency.cause'],False,
0,ehe,['temporal.asynchronous'],False,
0,einerseits,['comparison.contrast'],False,
0,endlich,['temporal.asynchronous'],False,
0,entgegen,['comparison.concession'],False,
0,entsprechend,['contingency.cause'],False,
0,entweder,['expansion.disjunction'],True,oder
0,oder,['expansion.disjunction'],True,entweder
0,ergo,['contingency.cause'],False,
0,erstens,['expansion.conjunction'],False,
0,erst mal,['temporal.asynchronous'],False,
0,es sei denn,['contingency.negative-condition'],False,
0,falls,['contingency.condition'],False,
0,ferner,['expansion.conjunction'],False,
0,folgerichtig,['contingency.cause'],False,
0,folglich,['contingency.cause'],False,
0,freilich,"['comparison.concession', 'comparison.concession', 'comparison.contrast', 'expansion.exception', 'expansion.level-of-detail']",False,
0,fuer,['contingency.purpose'],True,für
0,für,['contingency.purpose'],True,fuer
0,gemäß,['contingency.cause'],True,gemaeß
0,gemaeß,['contingency.cause'],True,gemäß
0,genau gesagt,['expansion.level-of-detail'],True,genauer gesagt
0,genauer gesagt,['expansion.level-of-detail'],True,genau gesagt
0,geschweige denn,['expansion.conjunction'],True,geschweige
0,geschweige,['expansion.conjunction'],True,geschweige denn
0,gesetzt,['contingency.condition'],True,gesetzt den fall
0,gesetzt den fall,['contingency.condition'],True,gesetzt
0,gleichermassen,['expansion.equivalence'],True,gleichermaßen
0,gleichermaßen,['expansion.equivalence'],True,gleichermassen
0,gleichfalls,['expansion.equivalence'],False,
0,gleichwohl,"['comparison.concession', 'comparison.concession']",False,
0,gleichzeitig,"['comparison.contrast', 'expansion.conjunction', 'temporal.synchronous']",False,
0,halber,['contingency.purpose'],False,
0,halt,['contingency.cause'],False,
0,hierauf,['temporal.asynchronous'],False,
0,hieraufhin,['temporal.asynchronous'],False,
0,hierdurch,"['expansion.manner', 'contingency.cause']",False,
0,hierfür,['contingency.purpose'],True,hierfuer
0,hierfuer,['contingency.purpose'],True,hierfür
0,hiermit,['expansion.manner'],False,
0,hiernach,"['contingency.cause', 'temporal.asynchronous']",False,
0,hierzu,['contingency.purpose'],False,
0,hingegen,['comparison.contrast'],False,
0,hinterher,['temporal.asynchronous'],False,
0,hoechstens,['contingency.negative-condition'],True,höchstens
0,höchstens,['contingency.negative-condition'],True,hoechstens
0,immerhin,"['contingency.cause', 'comparison.contrast', 'comparison.concession']",False,
0,im übrigen,"['expansion.conjunction', 'expansion.exception']",True,im uebrigen
0,im uebrigen,"['expansion.conjunction', 'expansion.exception']",True,im übrigen
0,in anbetracht dessen,['contingency.cause'],False,
0,indem,['expansion.manner'],False,
0,indessen,"['temporal.synchronous', 'comparison.contrast', 'temporal.synchronous', 'comparison.contrast']",True,indes
0,indes,"['temporal.synchronous', 'comparison.contrast', 'temporal.synchronous', 'comparison.contrast']",True,indessen
0,infolge,['contingency.cause'],False,
0,infolgedessen,['contingency.cause'],False,
0,insbesondere,['expansion.instantiation'],False,
0,insofern,['contingency.cause'],False,
0,insofern,['contingency.cause'],True,als
0,als,['contingency.cause'],True,insofern
0,insoweit,[],False,
0,inzwischen,"['temporal.synchronous', 'temporal.asynchronous']",False,
0,jedoch,"['comparison.contrast', 'comparison.concession']",False,
0,je nachdem,"['contingency.condition', 'contingency.condition']",False,
0,kaum,"['temporal.asynchronous', 'temporal.asynchronous']",False,
0,kaum dass,['temporal.asynchronous'],True,kaum daß
0,kaum daß,['temporal.asynchronous'],True,kaum dass
0,konsequenterweise,"['contingency.cause', 'contingency.condition', 'expansion.conjunction']",False,
0,kraft,['expansion.manner'],False,
0,kurz gesagt,['expansion.level-of-detail'],False,
0,mal,['expansion.conjunction'],False,
0,mangels,['comparison.concession'],False,
0,m.a.w.,['expansion.equivalence'],True,mit anderen worten
0,mit anderen worten,['expansion.equivalence'],True,m.a.w.
0,mithin,"['contingency.cause', 'comparison.concession']",False,
0,nachdem,['temporal.asynchronous'],False,
0,nachher,['temporal.asynchronous'],False,
0,nebenbei,"['expansion.conjunction', 'temporal.synchronous']",False,
0,nebenbei gesagt,['expansion.conjunction'],False,
0,nebenher,"['temporal.synchronous', 'expansion.conjunction']",False,
0,nicht umsonst,['contingency.cause'],False,
0,nichtsdestominder,['comparison.concession'],False,
0,nichtsdestoweniger,['comparison.concession'],True,nichtsdestotrotz
0,nichtsdestotrotz,['comparison.concession'],True,nichtsdestoweniger
0,noch,"['temporal.synchronous', 'contingency.cause', 'expansion.conjunction']",False,
0,nun einmal,[],False,
0,nur,"['comparison.contrast', 'comparison.concession']",False,
0,nur dass,['comparison.contrast'],True,nur daß
0,nur daß,['comparison.contrast'],True,nur dass
0,naemlich,"['contingency.cause', 'expansion.level-of-detail']",True,nämlich
0,nämlich,"['contingency.cause', 'expansion.level-of-detail']",True,naemlich
0,ob,[],False,
0,obendrein,['expansion.conjunction'],False,
0,obgleich,"['comparison.concession', 'comparison.concession']",False,
0,obschon,['comparison.concession'],False,
0,obwohl,['comparison.concession'],False,
0,obzwar,"['comparison.concession', 'expansion.conjunction']",False,
0,oder,['expansion.disjunction'],False,
0,ohne daß,['expansion.conjunction'],True,ohne dass
0,ohne dass,['expansion.conjunction'],True,ohne daß
0,ohnedies,['contingency.cause'],False,
0,ohnehin,['contingency.cause'],False,
0,qua,['expansion.manner'],False,
0,schließlich,"['temporal.asynchronous', 'contingency.cause']",False,
0,schlussendlich,"['temporal.asynchronous', 'temporal.synchronous']",False,
0,sei es,['expansion.level-of-detail'],False,
0,seit,"['temporal.asynchronous', 'temporal.asynchronous']",False,
0,seitdem,"['temporal.asynchronous', 'temporal.asynchronous']",False,
0,seither,"['temporal.asynchronous', 'temporal.synchronous']",False,
0,sintemalen,['contingency.cause'],True,sintemal
0,sintemal,['contingency.cause'],True,sintemalen
0,so oder so,[],False,
0,sobald,['temporal.synchronous'],False,
0,sodann,"['temporal.asynchronous', 'contingency.condition', 'expansion.conjunction']",False,
0,sofern,['contingency.condition'],False,
0,sogleich,"['temporal.asynchronous', 'temporal.synchronous']",False,
0,solange,"['temporal.synchronous', 'contingency.condition', 'temporal.asynchronous']",False,
0,solang,"['temporal.synchronous', 'contingency.condition', 'temporal.asynchronous']",False,
0,somit,"['contingency.cause', 'expansion.manner', 'expansion.level-of-detail', 'expansion.equivalence']",False,
0,sonach,['contingency.cause'],False,
0,sondern,"['expansion.substitution', 'expansion.conjunction']",False,
0,sonst,['contingency.negative-condition'],False,
0,sooft,"['temporal.synchronous', 'contingency.condition']",False,
0,sosehr,"['comparison.contrast', 'comparison.concession']",False,
0,soweit,['contingency.condition'],False,
0,sowie,"['expansion.conjunction', 'expansion.conjunction']",False,
0,sowieso,['contingency.cause'],False,
0,spaeter,['temporal.asynchronous'],True,später
0,später,['temporal.asynchronous'],True,spaeter
0,sprich,['expansion.equivalence'],False,
0,statt,"['expansion.substitution', 'expansion.substitution']",False,
0,stattdessen,['expansion.substitution'],False,
0,teils,['expansion.conjunction'],False,
0,trotz,['comparison.concession'],False,
0,trotzdem,"['comparison.concession', 'comparison.concession']",False,
0,um,['contingency.purpose'],True,willen
0,willen,['contingency.purpose'],True,um
0,ueberdies,['expansion.conjunction'],True,überdies
0,überdies,['expansion.conjunction'],True,ueberdies
0,überhaupt,['expansion.conjunction'],True,ueberhaupt
0,ueberhaupt,['expansion.conjunction'],True,überhaupt
0,um so mehr,['contingency.cause'],True,umso mehr
0,umso mehr,['contingency.cause'],True,um so mehr
0,als,['contingency.cause'],True,umso
0,umso,['contingency.cause'],True,als
0,unbeschadet dessen,['comparison.concession'],False,
0,"unbeschadet dessen, daß",['comparison.concession'],True,"unbeschadet dessen, dass"
0,"unbeschadet dessen, dass",['comparison.concession'],True,"unbeschadet dessen, daß"
0,und,"['expansion.conjunction', 'temporal.asynchronous', 'comparison.contrast', 'contingency.cause']",False,
0,und zwar,['expansion.level-of-detail'],False,
0,unterdessen,"['comparison.contrast', 'temporal.synchronous']",False,
0,"unterstellt, dass",['contingency.condition'],True,"unterstellt, daß"
0,"unterstellt, daß",['contingency.condition'],True,"unterstellt, dass"
0,vermöge,[],True,vermoege
0,vermoege,[],True,vermöge
0,vielmehr,"['expansion.substitution', 'expansion.conjunction']",False,
0,wegen,['contingency.cause'],True,von
0,von,['contingency.cause'],True,wegen
0,von daher,['contingency.cause'],False,
0,vorausgesetzt,['contingency.condition'],False,
0,"vorausgesetzt, dass",['contingency.condition'],True,"vorausgesetzt, daß"
