('noch', 'indeed'),1
('wenngleich', 'although'),1
('deswegen', 'or'),1
('dabei', 'yet'),1
('', 'as soon as'),1
('aber', 'in the end'),1
('auch wenn', 'but'),1
('', 'wo'),1
('außer', 'aside from'),1
('denn', 'because'),1
('einerseits', 'still'),1
('', 'for one thing'),1
('und', 'in addition'),1
('andererseits', 'and'),1
('gleichzeitig', 'at the same time'),1
('zwar', 'although'),1
('dennoch', 'still'),1
('', 'in case'),1
('', 'whenever'),1
('folglich', 'thus'),1
('kaum', 'as'),1
('zudem', 'furthermore'),1
('dass', 'then'),1
('', 'for instance'),1
('damit', 'with'),1
('auch', 'but'),1
('zwar', 'still'),1
('aber', 'aside from'),1
('ansonsten', 'but'),1
('bis', 'for example'),1
('es sei denn', 'unless'),1
('oder', 'or'),1
('deswegen', 'hence'),1
('darauf', ''),1
('statt', ''),1
('weiterhin', ''),1
('später', 'later'),1
('ohnehin', ''),1
('dagegen', ''),1
('trotzdem', 'and'),1
('und', 'anyway'),1
('zwar', 'indeed'),1
('dennoch', 'however'),1
('ebenfalls', 'or'),1
('entsprechend', ''),1
('als wenn', ''),1
('denn', 'in this way'),1
('denn', 'given'),1
('wiederum', 'in turn'),1
('ebenfalls', 'with'),1
('aber', 'then'),1
('nur', 'then'),1
('', 'so'),1
('hierdurch', 'so'),1
('dass', 'if'),1
('allerdings', 'though'),1
('sowieso', 'and'),1
('so', 'if'),1
('noch', 'with'),1
('wenn auch', 'if'),1
('dann', 'also'),1
('weil', ''),1
('ebenfalls', 'also'),1
('da', 'in the end'),1
('doch', 'as'),1
('nur', 'or'),1
('nur', 'while'),1
('während', 'while'),1
('so', 'hence'),1
('also', 'when'),1
('und', 'hence'),1
('allerdings', 'but'),1
('', 'meanwhile'),1
('dazu', ''),1
('jedoch', 'at the same time'),1
('auch', 'yet'),1
('gleichzeitig', ''),1
('', 'ultimately'),1
('obwohl', 'even though'),1
('dabei', 'but'),1
('vielmehr', 'rather'),1
('deshalb', 'when'),1
('deshalb', 'but'),1
('noch', 'therefore'),1
('also', 'hence'),1
('zwar', 'or'),1
('', 'hence'),1
('bis', 'till'),1
('somit', 'thus'),1
('anstatt', ''),1
('sonst', ''),1
('', 'otherwise'),1
('', 'overall'),1
('schließlich', 'after all'),1
('dafür dass', ''),1
('', 'thus'),1
('nämlich', ''),1
('weil', 'as'),1
('jedoch', 'though'),1
('für', 'as'),1
('trotzdem', 'yet'),1
('', 'however'),1
('zwar', 'though'),1
('dennoch', 'and'),1
('darauf', 'and'),1
('aber', 'after all'),1
('schließlich', 'but'),1
('also', 'therefore'),1
