('', 'sebbene'),1
('even though', 'anche se'),1
('rather', 'piuttosto'),1
('when', 'pertanto'),1
('but', 'perché'),1
('till', ''),1
('', 'invece che'),1
('', 'altrimenti'),1
('otherwise', ''),1
('for', 'poiché'),1
('overall', ''),1
('after all', 'dopo'),1
('so', 'cosicché'),1
('still', 'tuttavia'),1
('', 'però'),1
('though', 'anche se'),1
('still', 'prima di'),1
('before', 'e'),1
('after all', 'ma'),1
